log P,G parameter,Denticity,Isomer
3.181000000000001,20.24510584115868,0,0
2.635300000000001,20.635046952092953,0,0
2.23102,22.385802960369247,0,0
3.1347000000000014,19.30606398217412,0,0
2.4884400000000007,21.717332484481936,0,0
3.1599200000000014,21.231895591278054,0,0
1.7753499999999998,30.10504536049658,0,0
1.5566199999999997,20.889702371478595,0,0
0.03710000000000002,20.714626770650963,0,0
0.66892,21.502466974375295,0,0
1.7948,21.72529046633774,0,0
3.3339200000000018,22.481298742638867,0,0
2.718300000000001,19.552761419703963,0,0
2.4306900000000002,32.34919624383256,0,0
1.5779900000000002,28.26675155180646,0,0
0.7904900000000001,34.49785134489894,0,0
1.57957,22.982651599554348,0,0
2.652300000000001,21.04886200859462,0,0
2.971300000000001,20.555467133534936,0,0
2.5493200000000007,21.38309724653828,0,0
3.963300000000001,20.388349514563107,0,0
1.2417,20.41222346013051,0,0
3.5432000000000015,20.539551169823334,0,0
2.8047200000000005,27.61419703963075,0,0
3.4856000000000025,20.650962915804552,0,0
2.951200000000001,20.722584752506766,0,0
2.7690400000000013,20.253063823014482,0,0
2.8928800000000017,21.239853573133857,0,0
2.693990000000001,32.01496100588891,0,0
1.5349499999999998,29.85834792296674,0,0
1.82499,30.749641890816488,0,0
4.102700000000001,25.696323412382622,0,0
2.48461,23.8500716218367,0,0
1.9153699999999996,27.892726404583794,0,0
2.8843900000000016,32.26165844341875,0,0
2.07509,29.19783542893522,0,0
1.4305,25.75998726722903,0,0
2.866860000000001,20.292853732293487,0,0
2.1040900000000002,30.168709215342986,0,0
0.81599,28.89543211841477,0,0
3.025100000000002,22.751870125736115,0,0
3.5962000000000023,19.50501352856915,0,0
2.6800900000000007,30.42336463472863,0,0
1.6020999999999999,20.9454082444692,0,0
2.47393,31.911507241763484,0,0
1.1247000000000005,21.852618176030557,0,0
2.1738999999999993,22.17093745026261,0,0
2.6525000000000007,26.46028967053955,0,0
3.091420000000001,23.969441349673723,0,0
2.5211000000000006,30.980423364634728,0,0
3.8652000000000024,24.574247970714627,0,0
2.4579900000000006,27.017348400445645,0,0
1.8467,25.608785611968802,0,0
1.9050999999999998,20.332643641572496,0,0
0.7602,23.507878402037246,0,0
2.77714,21.75712239376094,0,0
3.068860000000001,20.555467133534936,0,0
2.57892,21.09660989972943,0,0
3.9261800000000013,19.90291262135922,0,0
3.629200000000001,21.74120643004934,0,0
1.798,27.08101225529206,0,0
3.140620000000001,23.014483526977557,0,0
2.5276000000000005,22.59271048862008,0,0
2.9792000000000014,24.056979150087535,0,0
4.637700000000003,23.109979309247176,0,0
1.93483,34.04424637911825,0,0
4.038090000000002,26.770650962915802,0,0
2.764710000000001,28.648734680884928,0,0
4.269200000000002,24.66178577112844,0,0
2.951200000000001,20.770332643641574,0,0
2.785470000000001,27.9404742957186,0,0
3.7120000000000024,21.22393760942225,0,0
4.196100000000003,25.640617539392007,0,0
-1.0554999999999994,21.948113958300173,0,0
4.113840000000002,20.547509151679133,0,0
2.24214,21.502466974375295,0,0
1.0274999999999999,23.348718764921216,0,0
1.59822,20.261021804870285,0,0
3.289240000000002,23.213433073372595,0,0
1.6205,19.624383256406176,0,0
2.6386900000000013,29.563902594302082,0,0
3.3356000000000012,22.91898774470794,0,0
2.2872000000000003,20.436097405697915,0,0
1.6110900000000001,30.805347763807102,0,0
1.93749,29.468406812032466,0,0
2.1657,22.60862645233169,0,0
4.1473600000000035,20.523635206111727,0,0
1.4801,28.115549896546238,0,0
1.3199,20.507719242400125,0,0
2.998240000000001,23.43625656533503,0,0
3.1636900000000017,30.343784816170622,0,0
4.203220000000002,24.208180805347766,0,0
3.437800000000001,23.579500238739456,0,0
2.0648,25.958936813624064,0,0
3.198220000000002,20.483845296832722,0,0
3.552640000000001,22.60862645233169,0,0
2.9355,28.07575998726723,0,0
2.9948200000000007,23.324844819353814,0,0
2.5967000000000002,20.658920897660355,0,0
2.03369,28.78402037243355,0,0
3.4711000000000025,20.770332643641574,0,0
2.3629000000000007,35.317523476046475,0,0
4.2573000000000025,21.717332484481936,0,0
1.2627899999999996,26.714945089925195,0,0
3.831400000000002,26.094222505172688,0,0
2.8399400000000012,22.640458379754893,0,0
3.9898200000000026,24.92439917236989,0,0
4.271720000000002,23.905777494827316,0,0
3.884400000000003,27.11284418271526,0,0
-1.0995099999999995,23.802323730701893,0,0
2.18844,27.45503740251472,0,0
1.81409,32.21391055228394,0,0
3.599820000000002,27.884768422727998,0,0
2.1854199999999997,27.86089447716059,0,0
1.6434199999999999,23.37259271048862,0,0
2.4208000000000007,29.269457265637435,0,0
2.9487900000000016,32.20595257042814,0,0
2.3562700000000003,31.179372911029763,0,0
2.3963,21.32739137354767,0,0
3.4856000000000016,22.194811395830015,0,0
3.3179000000000016,20.523635206111727,0,0
2.753800000000001,20.89766035333439,0,0
2.8344200000000006,19.839248766512814,0,0
-0.3092100000000004,24.52650007957982,0,0
-0.5464000000000002,22.099315613560403,0,0
3.140620000000001,20.59525704281394,0,0
0.5348899999999998,27.08897023714786,0,0
1.7418999999999998,22.162979468406814,0,0
0.83,20.3485596052841,0,0
2.689400000000001,22.775744071303514,0,0
-0.19401000000000002,30.725767945249082,0,0
3.289240000000002,21.22393760942225,0,0
0.8420000000000001,29.77081012255292,0,0
3.2892400000000013,20.563425115390736,0,0
2.473,27.86089447716059,0,0
3.014780000000001,20.81012255292058,0,0
3.673860000000002,20.47588731497692,0,0
3.623800000000002,24.104727041222347,0,0
3.299290000000001,22.465382778927268,0,0
3.288090000000002,28.791978354289355,0,0
3.2299000000000015,22.847365908005727,0,0
2.3762000000000008,20.483845296832722,0,0
2.6515000000000004,23.06223141811237,0,0
3.530700000000002,24.52650007957982,0,0
1.9444,20.380391532707307,0,0
2.1767000000000003,18.93999681680726,0,0
2.901300000000001,21.75712239376094,0,0
2.1046000000000005,29.317205156772243,0,0
3.5271000000000017,24.144516950501355,0,0
1.8880199999999998,21.852618176030557,0,0
2.6423200000000007,20.39630749641891,0,0
0.37422,23.667038039153272,0,0
3.8493200000000023,25.40983606557377,0,0
2.6233900000000006,30.35970077988222,0,0
1.53639,27.391373547668312,0,0
1.75,26.7388190354926,0,0
3.861600000000002,22.911029762852145,0,0
3.025500000000001,19.226484163616107,0,0
1.3025499999999999,22.839407926149928,0,0
2.791100000000001,20.53159318796753,0,0
2.3946000000000005,25.14722266433233,0,0
2.589800000000001,24.892567244946687,0,0
1.70869,33.7020531593188,0,0
1.58419,30.2403310520452,0,0
2.9468000000000014,20.722584752506766,0,0
1.9808000000000001,23.73070189399968,0,0
2.54408,20.579341079102342,0,0
2.846520000000001,20.690752825083557,0,0
3.2814000000000023,21.5263409199427,0,0
3.494010000000001,25.449625974852783,0,0
1.0841999999999996,25.855483049498645,0,0
2.2854900000000002,22.807575998726723,0,0
2.4023200000000005,19.974534458061438,0,0
2.7124200000000007,27.3277096928219,0,0
0.85429,30.494986471430845,0,0
1.4947,20.380391532707307,0,0
1.4873,23.08610536367977,0,0
2.7159000000000004,23.48400445646984,0,0
2.4468000000000005,20.674836861371958,0,0
2.6686000000000005,20.276937768581888,0,0
0.73875,23.746617857711286,0,0
2.2640900000000004,29.667356358427504,0,0
2.749100000000001,21.72529046633774,0,0
2.4517000000000007,20.587299060958145,0,0
2.3687700000000005,21.168231736431643,0,0
2.6991200000000006,23.826197676269295,0,0
2.7013000000000007,19.385643800732133,0,0
3.5307200000000014,20.49976126054432,0,0
2.5352000000000006,20.420181441986312,0,0
2.0486,26.842272799618016,0,0
3.589190000000002,25.393920101862168,0,0
3.486600000000003,22.027693776858193,0,0
3.871800000000003,24.279802642049976,0,0
1.9973999999999998,22.6643323253223,0,0
1.80969,30.93267547349992,0,0
1.7716999999999998,27.399331529524115,0,0
1.1916499999999999,22.879197835428936,0,0
1.8154999999999997,27.15263409199427,0,0
4.478900000000004,26.69902912621359,0,0
2.3467000000000002,25.441667992996976,0,0
2.6816900000000006,30.972465382778932,0,0
3.1941900000000008,25.672449466815216,0,0
3.5752000000000015,24.29571860576158,0,0
3.076900000000002,21.399013210249883,0,0
2.373500000000001,21.38309724653828,0,0
3.436790000000001,25.998726722903072,0,0
1.57639,29.054591755530797,0,0
2.5352000000000006,20.650962915804552,0,0
1.5868899999999995,28.52936495304791,0,0
1.9952999999999999,26.92185261817603,0,0
2.449,20.06207225847525,0,0
3.0769900000000012,29.086423682954006,0,0
0.7143999999999999,23.71478593028808,0,0
2.6163,22.274391214388032,0,0
2.823590000000001,31.179372911029763,0,0
2.0412,20.3485596052841,0,0
2.548800000000001,22.616584434187494,0,0
3.7858000000000027,21.534298901798504,0,0
2.5013200000000007,28.823810281712557,0,0
2.852590000000001,30.678020054114274,0,0
1.3050899999999999,28.823810281712557,0,0
3.296800000000002,21.46267706509629,0,0
2.5444900000000006,30.216457106477794,0,0
2.900590000000001,30.18462517905459,0,0
1.3691999999999995,20.253063823014482,0,0
2.2022000000000004,23.324844819353814,0,0
2.6249000000000002,28.123507878402037,0,0
2.642150000000001,31.720515677224252,0,0
1.3423,19.385643800732133,0,0
3.1682000000000015,25.63265955753621,0,0
0.5490999999999999,20.786248607353176,0,0
3.4517000000000015,31.378322457424794,0,0
3.103300000000001,23.913735476683115,0,0
4.262100000000002,24.29571860576158,0,0
3.485420000000002,21.66958459334713,0,0
3.505600000000002,20.706668788795163,0,0
3.2848200000000016,21.542256883654307,0,0
