homo-lumo,Ir-cm5,denticity,isomer
0.0907789999999999,0.3819836402651861,1,1
0.2538639320386698,0.102964,0,0
0.177504,-0.0012369152076833,1,1
0.3055708918458044,0.1291969999999999,0,0
0.126297,0.2523557375492884,1,1
0.096201,0.3552281530885571,1,1
0.125188,0.2437384193696469,1,1
0.101936,0.2822685182163987,1,1
0.1315729999999999,0.2120260347459851,1,1
0.3543275304594633,0.1412129999999999,0,0
0.3062865853108148,0.1087799999999999,0,0
0.0528001179905784,0.086899,0,0
0.124967,0.188877468856746,1,1
0.103043,0.3384933129806914,1,1
0.09484,0.3528439894674252,1,1
0.1039410619033164,0.076802,0,0
0.0158995258022797,0.11779,0,0
0.1658076030802522,0.1220259999999999,0,0
0.2888416960940967,0.09024,0,0
0.0114058653120243,0.1466839999999999,0,0
0.12318,0.4389462979162165,1,2
0.0613307364594294,0.118917,0,0
0.317810797045318,0.094732,0,0
0.1668996193251037,0.1227609999999999,0,0
0.316390994685153,0.116005,0,0
0.1343349999999999,0.1284200898195849,1,1
0.150354,0.1259082612198116,1,2
0.0729262381028741,0.1140349999999999,0,0
0.163443,0.013104379332207,1,1
0.2611031344749233,0.098251,0,0
0.1018719605038344,0.113012,0,0
0.0196211994953132,0.1507409999999999,0,0
0.106401332009512,0.096998,0,0
0.3762157571700864,0.160666,0,0
0.5714052220944131,0.1154029999999999,0,0
0.080294589710783,0.108126,0,0
0.1126394124987007,0.158024,0,0
0.1001329999999999,0.2088722250843848,1,1
0.13231,0.1032966093493404,1,1
0.3119316687839379,0.1426259999999999,0,0
0.081020722649747,0.110022,0,0
0.4056414540713943,0.112637,0,0
0.2727064307620246,0.102792,0,0
0.233473443917029,0.153156,0,0
0.2683998318797461,0.126269,0,0
0.2995682016856772,0.1665839999999999,0,0
0.1622242090618686,0.123892,0,0
0.085208,0.544100315538433,1,1
0.1217452163496809,0.119509,0,0
0.134375,0.0151853425194887,1,2
0.124262,0.2936367644343732,1,1
0.0166772800563077,0.146951,0,0
-0.0074195888756228,0.1078299999999999,0,0
0.1527389363712997,0.091719,0,0
0.0555564570766034,0.148771,0,0
0.0732959999999999,0.357528699403542,1,1
0.5417783284777014,0.1259639999999999,0,0
0.0765139999999999,0.3551196556600379,1,1
0.163537470740784,0.136473,0,0
0.110642,0.2535694393411898,1,1
0.111789,0.3078677433737686,1,2
0.0104695116204524,0.128837,0,0
0.11409,0.1157489405107321,1,1
0.297107718862194,0.110483,0,0
0.131733,0.2555120476914635,1,1
0.2922590829977362,0.145351,0,0
0.104285,0.3327888849161566,1,1
0.0590379999999999,0.0445191156418069,1,1
0.1533263546081852,0.156547,0,0
0.101125,0.1591564641854927,1,1
0.1399513778978972,0.14274,0,0
0.164162,-0.0215662587422385,1,1
0.131744,0.1106907634813651,1,1
0.3293289188002261,0.1094009999999999,0,0
0.1972366853556254,0.127959,0,0
-0.0003581594094415,0.162453,0,0
0.1408399999999999,0.128397791394496,1,1
0.3050383524962106,0.1217289999999999,0,0
0.126017,0.2814548557344009,1,1
0.160982,0.1770596546910766,1,2
0.3055024852191683,0.1295239999999999,0,0
0.308370852193074,0.123031,0,0
0.117413,0.203610124775274,1,1
0.2778333323205282,0.135268,0,0
0.1006259797402817,0.173704,0,0
0.3148951875569327,0.1257289999999999,0,0
0.3260231895614427,0.140789,0,0
0.137481,-0.159191829701826,1,1
0.1806611626061848,0.122503,0,0
0.2755169427118097,0.1356909999999999,0,0
0.3137677384317778,0.1225769999999999,0,0
0.1692229999999999,-0.0141128909040823,1,1
0.3337353270840428,0.101827,0,0
0.3578166671022942,0.171763,0,0
-0.0128932201767424,0.1593319999999999,0,0
0.109368855166358,0.07824,0,0
0.2351338691729865,0.150493,0,0
0.5364598541487864,0.1444099999999999,0,0
0.1221539999999999,0.3660513739530346,1,1
0.1408819999999999,-0.0005446000806224,1,1
-0.0262670683360162,0.1559179999999999,0,0
0.1020612060184931,0.123229,0,0
0.422877848137153,0.088341,0,0
-0.0243058287515532,0.133458,0,0
0.152434,0.0993428768781589,1,1
0.0092882479334603,0.133997,0,0
0.1002999999999999,0.3345680074291772,1,2
0.134796,0.260579027504263,1,1
0.265966327505341,0.134515,0,0
-0.0102005590762761,0.1355149999999999,0,0
0.1034897572262968,0.1787629999999999,0,0
0.1617214568531437,0.1575909999999999,0,0
0.102907,0.362050307506356,1,1
0.4573268357033888,0.101975,0,0
0.11544,0.2326946093781585,1,2
0.3524658714941371,0.140896,0,0
0.125525,0.2704721271207136,1,1
-0.0016383961547398,0.1269969999999999,0,0
0.091982,0.3583120343828579,1,1
0.093917,0.342408731934221,1,1
0.1245969999999999,0.3455578699848906,1,1
0.0407226316413875,0.158339,0,0
0.1656724436878331,0.134707,0,0
0.0890351710965411,0.155606,0,0
0.149563,0.2309231714073118,1,1
0.2070250386888117,0.119831,0,0
0.2980550688929336,0.135809,0,0
0.105261,0.3818870533256255,1,1
0.08963799056049,0.162569,0,0
0.3383256621075555,0.1105409999999999,0,0
0.2975616183368142,0.129741,0,0
0.1330764591798529,0.164337,0,0
0.174468021730778,0.1519619999999999,0,0
0.159908,0.1392946855410014,1,1
0.092967,0.3009833014769716,1,1
0.287264458109279,0.12912,0,0
