Original encoded SMILES,Original log P,Original G parameter,Denticity,Isomer,Original encoded SMILES again,Optimized encoded SMILES,Tanimoto similarity,Optimization objective,Minimization
[Li]<-N=CC(C)=O,0.22497,18.701257361133216,0,0,[Li]<-N=CC(C)=O,[Li]<-N=CC(C)C#N,0.2222222222222222,log P,False
[Li]<-N=CC(C)=O,0.22497,18.701257361133216,0,0,[Li]<-N=CC(C)=O,[Li]<-N=CC(=O)NC,0.5,log P,True
[Li]<-N=CC(C)=O,0.22497,18.701257361133216,0,0,[Li]<-N=CC(C)=O,[Li]<-N=CC(C)=O,1.0,log P + G parameter,False
[Li]<-N=CC(C)=O,0.22497,18.701257361133216,0,0,[Li]<-N=CC(C)=O,[Li]<-N=CC(C)=O,1.0,log P + G parameter,True
[Li]<-N=CC(C)=O,0.22497,18.701257361133216,0,0,[Li]<-N=CC(C)=O,[Li]<-N=CC(C)=O,1.0,G parameter,False
[Li]<-N=CC(C)=O,0.22497,18.701257361133216,0,0,[Li]<-N=CC(C)=O,[Li]<-N=CC(C)(C)N,0.23076923076923078,G parameter,True
[Li]<-N=CC(C)=O,0.22497,18.701257361133216,0,0,[Li]<-N=CC(C)=O,[Li]<-N=CC(C)(C)N,0.23076923076923078,log P - G parameter,False
[Li]<-N=CC(C)=O,0.22497,18.701257361133216,0,0,[Li]<-N=CC(C)=O,[Li]<-N=CC(C)=O,1.0,log P - G parameter,True
[Li]<-[N-]=[N+]=C(c1ccccc1)[Si](C)(C)C,2.5829000000000004,22.77574407130352,0,0,[Li]<-[N-]=[N+]=C(c1ccccc1)[Si](C)(C)C,[Li]<-[N-]=[N+]=C(c1ccccc1)[Si](C)(C)C,1.0,log P,False
[Li]<-[N-]=[N+]=C(c1ccccc1)[Si](C)(C)C,2.5829000000000004,22.77574407130352,0,0,[Li]<-[N-]=[N+]=C(c1ccccc1)[Si](C)(C)C,[Li]<-[N-]=[N+]=C(CO)c1ccccc1,0.5319148936170213,log P,True
