Original encoded SMILES,Original log P,Original G parameter,Denticity,Isomer,Optimized encoded SMILES,Tanimoto similarity,Optimization objective,Minimization
[Li]<-N=CC(C)=O,0.22497,18.701257361133216,0,0,[Li]<-N=CC(C)=O,1.0,log P,False
[Li]<-N=CC(C)=O,0.22497,18.701257361133216,0,0,[Li]<-N=CC(=O)O,0.5,log P,True
[Li]<-N=CC(C)=O,0.22497,18.701257361133216,0,0,[Li]<-N=CC(C)=O,1.0,log P + G parameter,False
[Li]<-N=CC(C)=O,0.22497,18.701257361133216,0,0,[Li]<-N=CC(=O)NC,0.5,log P + G parameter,True
[Li]<-N=CC(C)=O,0.22497,18.701257361133216,0,0,[Li]<-N=CC(C)=O,1.0,G parameter,False
[Li]<-N=CC(C)=O,0.22497,18.701257361133216,0,0,[Li]<-N=CC(=O)c1ccccc1,0.2777777777777778,G parameter,True
[Li]<-N=CC(C)=O,0.22497,18.701257361133216,0,0,[Li]<-N=C1C=CCC(C(C)=O)=C1,0.2162162162162162,log P - G parameter,False
[Li]<-N=CC(C)=O,0.22497,18.701257361133216,0,0,[Li]<-N=CC(C)=O,1.0,log P - G parameter,True
[Li]<-[N-]=[N+]=C(c1ccccc1)[Si](C)(C)C,2.5829000000000004,22.77574407130352,0,0,[Li]<-[N-]=[N+]=C(c1ccccc1)[Si](C)(C)C,1.0,log P,False
[Li]<-[N-]=[N+]=C(c1ccccc1)[Si](C)(C)C,2.5829000000000004,22.77574407130352,0,0,[Li]<-[N-]=[N+]=C(CO)c1ccccc1,0.5319148936170213,log P,True
[Li]<-[N-]=[N+]=C(c1ccccc1)[Si](C)(C)C,2.5829000000000004,22.77574407130352,0,0,CC1(OCc2ccccc2)C=N->[Ir]<-N=C1P,0.217391304347826,log P + G parameter,False
[Li]<-[N-]=[N+]=C(c1ccccc1)[Si](C)(C)C,2.5829000000000004,22.77574407130352,0,0,[Li]<-n1nn[nH]c1-c1ccccc1,0.2586206896551724,log P + G parameter,True
[Li]<-[N-]=[N+]=C(c1ccccc1)[Si](C)(C)C,2.5829000000000004,22.77574407130352,0,0,Cc1c[nH]c2n1->[Ir]<-N=CC2(O)c1ccccc1,0.2083333333333333,G parameter,False
[Li]<-[N-]=[N+]=C(c1ccccc1)[Si](C)(C)C,2.5829000000000004,22.77574407130352,0,0,[Li]<-n1nn[nH]c1-c1ccccc1,0.2586206896551724,G parameter,True
