log P,Exact cone angle
5.056900000000003,210.3309396445204
5.766390000000005,215.7502409807684
5.015060000000003,213.558014425609
3.583000000000002,210.8148687198352
4.706640000000002,222.7527054993816
5.726590000000006,220.6295331861757
4.660600000000001,221.6480524094675
4.869100000000004,211.73132744225208
5.801490000000006,229.3961814624923
1.4652899999999998,234.2399207275664
1.65849,233.30151400948444
3.7929600000000026,225.4632862300965
3.2403000000000013,216.08866453554583
4.6125000000000025,217.21477288111672
3.8340900000000016,216.38684912177257
4.648490000000003,213.32874718877545
6.206370000000005,216.0771746669768
2.4473000000000003,236.8478778337403
5.438700000000004,225.3862622919008
2.1655100000000003,211.6806461231576
2.9537000000000013,116.47469906524714
2.690800000000001,121.47676138169328
1.2894,120.46653446929926
2.1615,109.50840532532804
2.7975600000000016,114.33876488884438
4.014500000000003,116.9465655726748
2.8109,104.06367186761958
1.41429,115.50968113309992
3.766340000000002,113.40197447818448
1.8723,118.81511736746587
1.8204,124.16690670139349
1.5470000000000002,116.74639670615628
1.9753,119.14093316891734
1.9314,118.60309321055948
2.1218,115.7167858871608
1.8667,100.22372562403196
1.6867,110.18954342810142
0.91998,102.88860075774156
1.6912999999999998,118.58363580927129
2.2763,124.13027919590586
6.889600000000006,176.54478124490768
6.611800000000002,179.2376134688498
7.802990000000007,198.30682603456
8.458020000000001,157.9299690483795
6.539550000000006,187.2074117518518
7.176990000000007,181.99882835057625
9.401889999999998,190.21488656672227
7.108930000000006,186.07840127655425
6.240000000000003,174.23748870164565
6.562900000000007,188.516448633252
6.700400000000006,148.26799082614747
6.554500000000006,194.813008460084
7.117200000000006,139.1175238055509
7.130190000000006,186.4992282767735
6.990400000000006,128.94321411079727
7.004600000000006,180.9944056279976
6.388320000000005,148.2152441472785
6.386000000000007,148.6868588008399
8.7504,176.69500132465333
7.441200000000008,156.3269675011486
-0.0885,172.51461544253706
0.6547999999999999,127.7400931844403
-0.5275000000000001,167.50483899334805
-0.6375000000000002,162.4094471764914
0.6106999999999998,193.70615575424185
0.49069,138.445942476903
0.33789,169.46068683842836
-0.1659100000000004,168.51459372929875
0.3379000000000003,163.82354516546528
0.5344200000000001,141.7338508058442
0.3706900000000002,137.0585406787264
-0.1469000000000002,138.55841816388616
0.1963999999999999,147.05913200421796
0.2325999999999999,144.8922973025869
-0.0348,130.942252802696
0.0407999999999997,138.43109642199673
-0.8939099999999993,162.79419554164735
0.4111000000000007,147.86351345649834
-0.9059000000000004,141.93488756167312
0.5694,126.69220329806556
3.6296000000000026,166.21111896887416
3.0570200000000014,168.83535823584285
3.738660000000002,166.44772258299204
3.809000000000003,173.06003725306425
3.438900000000002,166.6835203099563
3.671400000000003,164.35896165905424
3.3880000000000017,166.72944118749209
3.559520000000002,170.04995280245342
3.810390000000004,170.20581625751737
3.604390000000003,172.47370396510934
3.1062000000000003,164.99055113532506
3.291300000000001,163.48311239672552
3.1906000000000017,166.98682738472365
3.1749000000000027,165.73856393797104
3.405930000000001,163.66668074001603
3.026800000000001,172.2396955635687
3.567300000000002,169.1435797340529
3.465300000000001,173.43290945423416
3.4785000000000013,172.04501926866652
3.529390000000002,169.6260522775728
2.29159,168.43400315277665
2.22889,169.9503396253443
2.725600000000001,167.86964434938022
2.2251000000000003,163.04394908941154
2.64149,173.20957535527063
2.4875,165.3091899896939
2.8341900000000013,166.93771339110174
2.887700000000001,173.36932269131924
2.857890000000001,170.77965049529396
2.8223200000000013,171.82089709635093
2.3721500000000004,165.80369405587766
2.8042000000000016,167.20390354473304
2.4510900000000007,166.5493148439161
2.8374000000000006,173.63624156900798
2.5441000000000003,168.78688628950502
2.939220000000001,165.56151582886594
2.32329,172.02464297494797
3.003890000000002,168.83335979839353
2.813400000000001,167.07649626968566
2.965930000000001,167.65734344569825
2.8405900000000006,156.80089398297417
2.818620000000001,160.030814456574
2.2348,156.9375197752746
2.4152900000000006,157.33342734839388
2.3993000000000007,156.1583299101943
2.6937000000000006,151.91560454313912
2.3996000000000004,154.23864185027605
2.832200000000001,158.9073290510252
2.5276000000000005,157.02565249742568
2.458100000000001,156.27314733084833
2.9594700000000014,155.1988933726595
2.8398000000000003,162.27094175935633
2.486190000000001,157.4224051028307
2.7525000000000013,157.2882789110006
2.956090000000001,157.37905484209364
2.4446400000000006,158.86571969115303
2.833600000000001,156.40584252853762
2.7657000000000007,153.82524590723588
2.6182000000000007,162.8913596649257
2.734700000000001,153.4801162181992
3.099800000000001,156.71583492643953
3.789900000000003,159.15220658747273
3.139200000000001,156.50729987147716
3.1336200000000005,155.01169285133972
3.587600000000001,159.17916475549768
3.7875200000000033,159.327327618517
3.709600000000002,158.04069741895862
3.749190000000002,155.78146698965878
3.1136000000000017,158.80189076473513
3.2626000000000017,153.43948566156476
3.7230000000000025,162.49826791540093
3.743700000000002,159.96680844612382
3.3023000000000016,159.6937558612936
3.150400000000001,158.92048408618578
3.6391000000000018,162.10614376122965
3.695400000000002,152.26179956297474
3.501000000000002,160.029077943514
3.3778900000000016,162.82485027138966
3.616900000000002,160.09472186079935
3.700400000000002,156.59307679012244
