Encoded SMILES,log P
COc1cccc(C2P->[Ir]<-n3ccccc32)c1,3.054700000000002
CCC1OC=O->[Ir]<-OC12COC(C)C2,0.4778999999999997
NC12NC(Cl)=CN1C=[Be]->[Ir]<-n1ccccc12,0.6390900000000004
CC12C=CC3P1->[Ir]<-S=CC2(C)C3(P)P,2.828100000000002
C1=N->[Ir]<-n2c([nH]c3ccccc32)CN(c2ccccc2)C1,3.219070000000001
CC1(C)OCC2(CCS3->[Ir]<-S(CCC3)C2)O1,2.768300000000001
O=C(COC1=S->[Ir]<-S=C1)Nc1ccccc1,1.9688
CC1(C)COC2(O1)P->[Ir]<-n1ccccc12,1.8924
CN(C)C12C=CC=CN1->[Ir]<-[Be]=C1C=CC=CN12,1.2991899999999998
COC(=O)c1ccccc1N1->[Ir]<-Oc2cnccc21,2.317400000000001
c1ccc(N23->[Ir]<-n4ccccc4C2CNC3)cc1,2.1899999999999995
C1=NC2(N->[Ir]<-n3ccccc32)C(c2ccccc2)O1,1.9929
Cn1cccc1-c1cccc2n1->[Ir]<-n1ccccc1-2,3.1491000000000016
SC1NCc2ccccn2->[Ir]<-n2ccccc21,2.1948
Nc1nn2c(c1-c1ccccc1Br)P->[Ir]<-PC2,2.2278
C1=NC(c2ccccc2)C2(C=N->[Ir]<-N2)O1,1.0907699999999998
C=CCS1->[Ir]<-S(CC=C)CC1,2.824800000000001
C=C(C)C1(S)CS(C(C)C)->[Ir]<-S1,3.2600000000000025
CC(O)S1->[Ir]<-SCC1(S)CO,0.6060999999999999
C=CC1(S)CS(C(=C)C)->[Ir]<-S1,2.9951000000000016
Cn1ccc(C2=O->[Ir]<-n3ccccc32)c1,1.6510999999999998
ON1->[Ir]<-N2=C(OC(C(F)(F)F)C2)C=1C(F)(F)F,1.7385
c1c[nH]c2nn3->[Ir]<-n4cccnc4-c3c-2c1,1.3664999999999998
Cc1ccc(NC2=O->[Ir]<-n3ccccc32)cc1,2.6423200000000007
c1cc2c(cn1)O->[Ir]<-N2,0.3694
Cc1ccc2n(->[Ir]<-O=C2)c1,1.20252
CCCn1ccn2->[Ir]<-N(C)=Nc12,2.0066
Cc1con2->[Ir]<-n3occ(C)c3-c12,1.94644
Oc1ccc(-c2nc3n(->[Ir]<-n4ccncc4-3)[nH]2)cc1,1.6342999999999994
CCOC(=O)c1c(C)[nH]n2->[Ir]<-n3ccccc3-c12,1.95682
OC1=N->[Ir]<-O=C1c1ccccc1,1.40457
