Encoded SMILES,log P
OC1O->[Ir]<-OC1O,1.7084
OC1O->[Ir]<-OC1O,1.7084
OC1=O->[Ir]<-N=C1,-0.2794299999999999
OC1=N->[Ir]<-O=C1,-0.2794300000000001
OC1=N->[Ir]<-O=C1,-0.2794300000000001
OC1=C(O)O->[Ir]<-O1,0.345
NC1=O->[Ir]<-N=C1O,-0.99303
NC1=O->[Ir]<-N=C1O,-0.99303
CN1->[Ir]<-O=CC=1O,-0.2284
O=C(S)[SH]1->[Ir]<-S=CC=1,1.3036
O=C(S)[SH]1->[Ir]<-S=CC=1,1.3036
OC1=O->[Ir]<-n2ccsc21,0.8412999999999999
OC1=O->[Ir]<-n2ccsc21,0.8412999999999999
O=C1C=CC2=N->[Ir]<-N=C12,-1.1186600000000002
O=C1C=CC2=N->[Ir]<-N=C12,-1.1186600000000002
PC1=C(S)N->[Ir]<-S1,1.3737
PC1=C(S)N->[Ir]<-S1,1.3737
ON1->[Ir]<-N=CCC=1,0.48607
ON1->[Ir]<-N=CCC=1,0.48607
OC1O->[Ir]<-OC1O,-2.3922000000000003
OC1O->[Ir]<-OC1O,-2.3922000000000003
SC1S->[Ir]<-SC1S,1.3577999999999997
SC1S->[Ir]<-SC1S,1.3577999999999997
C=C1C=N->[Ir]<-N=C1,0.8417399999999999
C=C1C=N->[Ir]<-N=C1,0.8417399999999999
CS1->[Ir]<-NC=C1,0.7793000000000001
CS1->[Ir]<-NC=C1,0.7793000000000001
FC1(F)S->[Ir]<-SC1(S)S,1.9522
FC1(F)S->[Ir]<-SC1(S)S,1.9522
O=C1NN=CC2=S->[Ir]<-NN12,-0.98531
CC1=C(S)N->[Ir]<-S1,0.9937
CC1=C(S)N->[Ir]<-S1,0.9937
Clc1cccc2n1->[Ir]<-N=N2,1.6166999999999998
CC1=C(S)S->[Ir]<-N1,-2.2848
On12->[Ir]<-N=Cc1cnc2,0.11807
On12->[Ir]<-N=Cc1cnc2,0.11807
Clc1ccc2n(->[Ir]<-N=N2)c1,2.39747
Clc1ccc2n(->[Ir]<-N=N2)c1,2.39747
CC1=O->[Ir]<-n2cscc21,1.3457
CC1=O->[Ir]<-n2cscc21,1.3457
Clc1ccn2->[Ir]<-Nc2c1,1.3172
Clc1ccn2->[Ir]<-Nc2c1,1.3172
Brc1ccn2->[Ir]<-O=Cc2c1,1.6565999999999996
Brc1ccn2->[Ir]<-O=Cc2c1,1.6565999999999996
ClC1=O->[Ir]<-n2ccccc21,1.4606
ClC1=O->[Ir]<-n2ccccc21,1.4606
[Be]1->[Ir]<-n2ccccc2NC=1,1.0390899999999998
[Be]1->[Ir]<-n2ccccc2NC=1,1.0390899999999998
Cc1non2->[Ir]<-N=Cc12,0.3756899999999999
Cc1non2->[Ir]<-N=Cc12,0.3756899999999999
c1cn2->[Ir]<-NCc2s1,0.6018
c1cn2->[Ir]<-NCc2s1,0.6018
Brc1cccn2->[Ir]<-N=Nc12,2.50657
Brc1cccn2->[Ir]<-N=Nc12,2.50657
NCN1->[Ir]<-S=CN1,-1.046
NCN1->[Ir]<-S=CN1,-1.046
ON1->[Ir]<-N(O)CC1,-1.056
ON1->[Ir]<-N(O)CC1,-1.056
CC1=N2->[Ir]<-S=C2NC=C1,1.4476099999999998
CC1=N2->[Ir]<-S=C2NC=C1,1.4476099999999998
CN1(C)->[Ir]<-S=CN1,0.0098
CN1(C)->[Ir]<-S=CN1,0.0098
CC1C=N->[Ir]<-N=C1,0.92164
CC1C=N->[Ir]<-N=C1,0.92164
CC1=N->[Ir]<-N=C1C,1.06574
CC1=N->[Ir]<-N=C1C,1.06574
NC(=O)COC1=S->[Ir]<-S=C1,-0.1845999999999996
NC(=O)COC1=S->[Ir]<-S=C1,-0.1845999999999996
CSC1=S->[Ir]<-S=C1SC,2.3672000000000004
CSC1=S->[Ir]<-S=C1SC,2.3672000000000004
c1cc2n(->[Ir]<-NC2)[nH]1,-0.1316000000000001
c1cc2n(->[Ir]<-NC2)[nH]1,-0.1316000000000001
CSC1=S->[Ir]<-n2cc(F)sc21,2.3207000000000004
CSC1=S->[Ir]<-n2cc(F)sc21,2.3207000000000004
c1cc2c(cn1)O->[Ir]<-N2,0.3694
c1cc2c(cn1)O->[Ir]<-N2,0.3694
CS1->[Ir]<-NC(P)=C1,0.9821
CS1->[Ir]<-NC(P)=C1,0.9821
Nc1cn2->[Ir]<-N(O)=Cc2s1,0.5334000000000001
Nc1cn2->[Ir]<-N(O)=Cc2s1,0.5334000000000001
FC1=O->[Ir]<-N2=C1C(F)=C(F)CC2,1.4778
FC1=O->[Ir]<-N2=C1C(F)=C(F)CC2,1.4778
[SeH]C1=N->[Ir]<-n2ccccc21,0.30777
[SeH]C1=N->[Ir]<-n2ccccc21,0.30777
CNC1=S->[Ir]<-S=C1SC,1.2236
CNC1=S->[Ir]<-S=C1SC,1.2236
CC1(O)C=N->[Ir]<-N=C1,0.0365399999999999
CC1(O)C=N->[Ir]<-N=C1,0.0365399999999999
C1CC2N->[Ir]<-O=C2N1,-1.1664
C1CC2N->[Ir]<-O=C2N1,-1.1664
CC1=O->[Ir]<-O=CC1C,0.4104
CC1=O->[Ir]<-O=CC1C,0.4104
P=N1->[Ir]<-Pc2ccncc21,1.5398999999999994
P=N1->[Ir]<-Pc2ccncc21,1.5398999999999994
O=N1->[Ir]<-n2ccccc2C1,1.348
O=N1->[Ir]<-n2ccccc2C1,1.348
FC1=CC2=N(->[Ir]<-O=C2F)C(F)C1,1.4762000000000002
FC1=CC2=N(->[Ir]<-O=C2F)C(F)C1,1.4762000000000002
SC1=N->[Ir]<-n2ccccc21,1.3367699999999998
SC1=N->[Ir]<-n2ccccc21,1.3367699999999998
CC1=N(C)->[Ir]<-N(O)=C1,0.5371000000000001
CC1=N(C)->[Ir]<-N(O)=C1,0.5371000000000001
C[S+]1([O-])->[Ir]<-SCC1S,0.5506
C[S+]1([O-])->[Ir]<-SCC1S,0.5506
C=C1C=N->[Ir]<-N=C1C,1.23184
C=C1C=N->[Ir]<-N=C1C,1.23184
Nc1cccc2n1->[Ir]<-N2,0.2459999999999998
Nc1cccc2n1->[Ir]<-N2,0.2459999999999998
NC1N->[Ir]<-NC1[SeH],-2.5845
NC1N->[Ir]<-NC1[SeH],-2.5845
FC1=O->[Ir]<-N2=C1C(Cl)=CC(F)C2,1.3979
FC1=O->[Ir]<-N2=C1C(Cl)=CC(F)C2,1.3979
C#CC1=O->[Ir]<-n2ccccc21,0.8975
C#CC1=O->[Ir]<-n2ccccc21,0.8975
CCC1=N(O)->[Ir]<-NO1,0.0744000000000001
CCC1=N(O)->[Ir]<-NO1,0.0744000000000001
SC1S->[Ir]<-n2cccnc21,1.334799999999999
SC1S->[Ir]<-n2cccnc21,1.334799999999999
CC1=N->[Ir]<-n2cc[nH]c21,0.7974699999999999
CC1=N->[Ir]<-n2cc[nH]c21,0.7974699999999999
CNC(=O)NC1=S->[Ir]<-S=C1,0.2424999999999999
CNC(=O)NC1=S->[Ir]<-S=C1,0.2424999999999999
CC1=CS(C)->[Ir]<-N1,1.1694
CC1=CS(C)->[Ir]<-N1,1.1694
C1=[NH+][O-]->[Ir]<-n2ccccc21,-0.9211000000000004
C1=[NH+][O-]->[Ir]<-n2ccccc21,-0.9211000000000004
SC1S->[Ir]<-n2ccccc21,1.9398
