log P,Ligand coordination bulkiness (Å$^3$)
2.851640000000001,9.318680093672343
0.7229999999999999,9.318680093672343
2.508120000000001,10.739748114597152
1.6000999999999996,10.15060733866456
1.607,9.318680093672343
0.7834,9.318680093672343
1.48552,9.318680093672343
0.6053899999999999,9.228692313702918
1.7523999999999995,9.318680093672343
2.4853000000000005,11.282246711599448
0.3058,9.443468342663136
3.091420000000001,9.318680093672343
0.8190999999999997,10.693105935666855
1.2787,9.318680093672343
2.971300000000001,9.318680093672343
2.2382,10.522940522387612
2.5669000000000004,9.318680093672343
1.6749,9.193891844681554
1.8488,11.98938570760087
1.99022,9.318680093672343
1.57981,1.8387783689363104
1.0986,1.8387783689363104
1.4593,1.8387783689363104
0.92169,1.5514692487900117
1.6175,1.7487905889668844
1.4434,1.4992140909853016
1.5668799999999998,1.8387783689363104
0.4707000000000001,1.8387783689363104
1.3702,1.8387783689363104
1.9716,1.8387783689363104
2.1763000000000003,1.8387783689363104
2.5737000000000005,1.8387783689363104
2.0868,1.8387783689363104
2.1516,1.8387783689363104
2.640080000000001,1.8387783689363104
1.2055,1.8387783689363104
2.05261,1.963566617927102
0.30089,1.8387783689363104
3.2462100000000014,1.8387783689363104
3.689200000000002,7.140337446785025
4.235100000000003,4.247299226366847
3.3654400000000013,7.604689973726825
3.464730000000001,8.31182896972825
3.494400000000001,7.604689973726825
3.3739000000000017,3.927133235854204
3.623800000000002,6.015488102772097
3.605220000000002,8.979115815721336
3.4631000000000025,4.42628623181737
3.328400000000002,7.604689973726825
4.238820000000003,3.927133235854204
3.339100000000002,8.122734413513578
4.347600000000004,8.122734413513578
3.541500000000002,7.140337446785025
3.505600000000002,7.604689973726825
3.575200000000001,2.2131431159086845
3.714780000000003,3.677556737872621
4.373020000000003,7.140337446785025
3.515600000000002,2.0883548669178933
4.244100000000003,5.890699853781306
-1.26991,6.800773168834016
-1.1037100000000004,8.979115815721336
0.0588,7.265125695775816
-0.4658999999999999,2.337931364899476
-1.7096999999999989,5.176770828857923
-1.5375000000000003,7.604689973726825
-0.3341999999999998,2.337931364899476
-0.2783000000000001,8.639551537770327
-1.3615999999999986,8.854327566730545
-0.3114099999999991,8.674352006791691
-1.0934000000000004,7.979054720699199
-0.9666999999999996,5.176770828857923
0.0371,7.604689973726825
-0.3860000000000001,3.4627807089124034
-0.8523099999999999,8.31182896972825
-1.6962099999999989,6.800773168834016
-0.3149000000000006,7.604689973726825
-0.8089300000000001,5.086783048888496
-1.4657,4.916617635609255
2.104,7.265125695775816
1.86569,6.675984919843224
1.9814,6.800773168834016
1.88989,6.675984919843224
2.18053,6.800773168834016
1.83332,7.514702193757399
1.8822,7.604689973726825
1.88002,7.265125695775816
1.8895,7.265125695775816
2.1041000000000003,7.219802985760028
2.0807,7.265125695775816
2.07949,6.675984919843224
1.94969,6.675984919843224
2.17969,6.675984919843224
1.9771,7.265125695775816
2.06469,6.675984919843224
2.1516400000000004,7.729478222717616
2.0752,7.219802985760028
2.16327,6.675984919843224
2.04342,7.479901724736034
1.4820999999999998,6.800773168834016
1.4871,7.729478222717616
1.58419,6.675984919843224
1.5424,7.265125695775816
1.3952900000000004,6.800773168834016
1.7645999999999995,6.800773168834016
1.38689,7.514702193757399
1.4324,6.7205955355242
1.5385999999999995,7.604689973726825
1.4102799999999998,7.604689973726825
1.4806199999999996,7.140337446785025
1.5027199999999998,7.140337446785025
1.5511,7.604689973726825
1.72941,6.800773168834016
1.6021,7.604689973726825
1.40669,6.800773168834016
1.4512,6.675984919843224
1.4716999999999998,7.604689973726825
1.62261,6.925561417824807
1.5730000000000002,7.389913944766607
1.50659,6.675984919843224
1.49979,6.675984919843224
1.5841999999999998,5.516335106808932
1.43607,5.765911604790515
1.7631899999999998,6.675984919843224
1.6532,6.015488102772097
1.5304999999999995,6.336420641892215
1.39489,6.675984919843224
1.6631999999999998,5.890699853781306
1.47449,6.675984919843224
1.5839,6.675984919843224
1.5465000000000002,6.666434478176311
1.47509,5.675923824821088
1.4990900000000005,6.675984919843224
1.68809,6.675984919843224
1.4305,5.765911604790515
1.62469,6.675984919843224
1.45152,5.765911604790515
1.58019,6.336420641892215
1.9529,5.641123355799723
2.12833,6.381031257573191
2.06629,6.675984919843224
1.81409,6.675984919843224
1.85709,6.675984919843224
2.06502,5.675923824821088
2.0815900000000003,6.675984919843224
2.0575900000000003,6.675984919843224
2.0302999999999995,6.336420641892215
1.82617,5.641123355799723
1.85419,6.675984919843224
2.1679000000000004,5.551135575830297
1.82617,5.641123355799723
1.85709,6.675984919843224
2.1459199999999994,5.516335106808932
1.9019,5.765911604790515
2.08297,5.765911604790515
2.016,5.765911604790515
1.83229,6.675984919843224
2.1904900000000005,6.675984919843224
