log P,G parameter
3.054700000000002,47.78768104408722
0.4778999999999997,45.19337895909597
0.6390900000000004,45.949387235397104
2.828100000000002,50.0238739455674
3.219070000000001,47.26245424160432
2.768300000000001,46.17221072735954
1.9688,56.11173006525545
1.8924,49.76921852618176
1.2991899999999998,44.54878242877607
2.317400000000001,51.7587139901321
2.1899999999999995,44.198631227120806
1.9929,47.22266433232532
3.1491000000000016,44.62836224733408
2.1948,45.30479070507719
2.2278,50.18303358268344
1.0907699999999998,45.71064777972306
2.824800000000001,47.72401718924081
3.2600000000000025,50.23078147381824
0.6060999999999999,44.7875218844501
2.9951000000000016,57.146267706509626
1.6510999999999998,34.418271526340924
1.7385,34.40235556262931
1.3664999999999998,34.33869170778291
2.6423200000000007,33.97262454241604
0.3694,31.09979309247175
1.20252,33.7020531593188
2.0066,33.86121279643483
1.94644,33.88508674200223
1.6342999999999994,34.13974216138787
1.95682,34.2989017985039
1.40457,33.1052045201337
1.6565999999999996,33.90100270571383
0.7055,34.13178417953208
1.5848,33.749801050453605
0.7848999999999999,33.61451535890498
1.4716999999999991,34.354607671494506
2.8630000000000013,34.33869170778291
2.467270000000001,34.21932197994589
2.140199999999999,34.34664968963871
0.9639000000000002,34.11586821582047
3.763600000000003,36.089447716059205
3.690500000000003,37.88795161547032
3.6968000000000014,41.05522839407927
4.532500000000003,36.089447716059205
3.902200000000003,36.781792137513925
3.9310700000000014,42.86964825720198
3.6688000000000014,35.28569154862327
4.001800000000001,41.62820308769695
4.119020000000004,43.09247174916441
4.119020000000004,35.341397421613884
3.865400000000001,36.20085946204043
3.492400000000001,42.583160910393126
4.358800000000002,35.4368932038835
5.003300000000001,42.82190036606717
3.824620000000003,36.12127964348241
4.007500000000001,35.81091835110616
4.5481000000000025,43.983765717014165
3.5953000000000026,38.21422887155817
3.824620000000003,35.333439439758074
3.618960000000002,38.50867420022283
0.1460999999999999,37.49005252268025
-1.4179299999999984,35.24590163934426
-1.4664299999999992,41.13480821263728
-0.8068999999999991,39.03390100270571
-1.9164999999999983,36.551010663695685
-0.2394999999999991,36.089447716059205
-2.2276,34.505809326754736
-0.8389999999999995,38.922489256724496
-0.8905999999999985,37.227439121438806
-0.23943,37.243355085150405
-1.329299999999998,37.25131306700621
0.1252000000000001,41.06318637593506
0.0736999999999999,37.227439121438806
-0.6566000000000001,35.675632659557536
-1.5359999999999994,40.21964029922012
-0.1478000000000001,35.18223778449785
-1.5049000000000003,36.72608626452332
-1.518629999999999,40.6812032468566
-0.1733000000000001,38.3574725449626
-0.9513999999999992,36.74996021009072
2.06079,39.67849753302563
2.29243,38.914531274868686
2.0889,38.3495145631068
2.393590000000001,39.02594302084991
2.2855,38.3733885086742
2.3138999999999994,39.46363202291899
2.0939999999999994,38.67579181919465
2.1792,39.21693458538915
2.1393,39.68645551488142
2.1643,38.460926309088016
1.9614,38.3495145631068
2.00477,39.415884131784175
2.1274,39.24876651281235
2.1983,39.543211841477
2.3946000000000005,38.76332961960847
2.176300000000001,38.3893044723858
2.1767700000000003,38.9622791660035
2.0853,39.05777494827312
2.3205,39.25672449466816
2.3612600000000006,39.59095973261181
1.84571,39.38405220436098
1.8216,38.978195129715104
1.7520999999999998,39.02594302084991
1.8839,38.73945567404107
1.68112,39.26468247652395
1.8858,39.376094222505166
1.94029,38.25401878083719
1.7046,39.23285054910075
1.7833999999999994,38.938405220436096
1.7833999999999994,38.81107751074328
1.6321999999999997,39.4875059684864
1.9175,39.06573293012892
1.9039,39.47159000477479
1.5255999999999998,39.38405220436098
1.62999,38.914531274868686
1.64529,39.567085787044405
1.7912999999999997,39.64666560560242
1.7833999999999994,38.24606079898138
1.8448,38.26993474454879
1.8465,39.21693458538915
1.6701,37.10011141174598
1.9175,37.64125417794048
1.5411,37.44230463154545
1.6173,37.91978354289352
1.7833999999999994,38.22218685341397
1.58382,36.845455992360336
1.5365699999999998,37.09215342989018
1.7320399999999998,37.15581728473659
1.5029699999999997,37.33089288556422
1.5711999999999997,38.06302721629795
1.757,37.69696005093108
1.5711999999999997,37.259271048862
1.8325,36.98869966576476
1.8965,37.61738023237307
1.5686999999999998,37.68104408721948
1.8742,37.2115231577272
1.5719,37.48209454082445
1.5258,37.41843068597804
1.7863999999999998,37.346808849275824
1.8569,37.116027375457584
1.9911,38.11873308928856
2.2646000000000006,37.37864077669902
2.2454,38.039153270730544
2.1834,37.95957345217253
2.2235000000000005,37.61738023237307
2.0957,37.52188445010346
2.055,37.18764921215979
2.1767700000000003,38.06302721629795
2.0583000000000005,36.781792137513925
2.1754999999999995,37.283144994429406
2.10357,37.2115231577272
2.351720000000001,37.10806939360179
2.0771999999999995,37.33885086742002
2.0282,37.53780041381506
1.9606,37.55371637752666
1.97632,36.86932993792774
2.208600000000001,37.219481139583
2.2845000000000004,37.07623746617858
2.1837,37.08419544803438
2.39712,37.08419544803438
