HOMO-LUMO gap (Eh),Metal center charge,Denticity,Isomer
0.2918437309240338,0.177938,0,0.0
0.0639348311077569,0.113645,0,0.0
0.087223,0.2582236011853828,1,
0.0969929999999999,0.3837256423541398,1,
0.3212770854920019,0.1241439999999999,0,0.0
0.0794219999999999,0.3306988580787899,1,
0.127747,0.1984033720765058,1,
0.152574,0.4755719546914863,1,
0.0995341652390904,0.155544,0,0.0
0.305028866385061,0.121448,0,0.0
-0.015212628062856,0.151607,0,0.0
0.1414819999999999,0.2334588076057767,1,
0.2629628663053437,0.120781,0,0.0
0.0585745177692452,0.1812129999999999,0,0.0
0.1255249999999999,0.2704721271207136,1,
0.154077,-0.1386121745720376,1,
0.2969607056977418,0.093014,0,0.0
0.130656,0.035496555109654,1,
0.0627280917357599,0.1319759999999999,0,0.0
0.5154680392747281,0.1390269999999999,0,0.0
0.1224096106104787,0.1145589999999999,0,0.0
0.131733,0.2555120476914635,1,
0.3825872186511411,0.111538,0,0.0
0.0321731835480547,0.116191,0,0.0
-0.0193990628757658,0.168308,0,0.0
0.12211,0.2162326329782896,1,
0.0998759999999999,0.3097692417892626,1,
0.2247248731725184,0.096012,0,0.0
0.1306779999999999,0.2558205878719389,1,
0.3216376652414968,0.137947,0,0.0
0.107621,0.287381598815989,1,
0.05993,0.5155751698281175,1,
-0.0114612062350403,0.146237,0,0.0
0.3614995229861925,0.1534579999999999,0,0.0
0.103687820506483,0.158274,0,0.0
0.099772,0.3468365788721178,1,
0.0832779999999999,0.3790308824076213,1,
0.282201130708717,0.1334179999999999,0,0.0
0.0139740529643418,0.137046,0,0.0
0.096159,0.3433021964064469,1,
-0.0194366899147662,0.161512,0,0.0
0.102368,0.3535594046863851,1,
0.3146477676954451,0.1324069999999999,0,0.0
0.1017029999999999,0.3927073846170372,1,
0.096047,0.3237312131618651,1,
0.135613,0.4722390908930965,1,
0.097478,0.3330832696469375,1,
0.169459,-0.0104235374298996,1,
0.12675,0.1311447970120619,1,
0.2717682676757934,0.147644,0,0.0
0.1293457446491348,0.177707,0,0.0
0.2875354155146343,0.107051,0,0.0
0.3318209823174713,0.108462,0,0.0
0.129416,0.2616885775535785,1,
0.3891907066203403,0.144913,0,0.0
0.3360298661797944,0.1070179999999999,0,0.0
0.3385101885752655,0.109046,0,0.0
-0.0183019097549176,0.119544,0,0.0
0.279750426624628,0.137074,0,0.0
0.3452991739352967,0.124258,0,0.0
0.1043909999999999,0.3470533578783019,1,
0.0914629999999999,0.24981708576629,1,
0.3613577177948162,0.0869109999999999,0,0.0
0.372655848624266,0.113175,0,0.0
0.175561,0.1228642642937745,1,
0.2131604551985207,0.138879,0,0.0
0.154561,0.099209144795021,1,
0.154383,0.0100174100601677,1,
0.117613,0.3656555946018969,1,
0.1322987207644707,0.140263,0,0.0
0.1102608773244645,0.1477049999999999,0,0.0
0.1143079999999999,0.3447964615843681,1,
-0.0159914696855118,0.113471,0,0.0
0.1217159459312935,0.129788,0,0.0
0.131955,0.3025831644440675,1,
0.3532683330184588,0.144477,0,0.0
0.0633349999999999,0.3905405060445739,1,
0.1235549999999999,0.3758816797817779,1,
0.100501,0.3726304469288246,1,
0.1441889999999999,0.1458079039372919,1,
-0.002157889308911,0.150813,0,0.0
-0.0052941200653771,0.156819,0,0.0
0.4046663726535355,0.129025,0,0.0
0.111701,0.3258126597265934,1,
0.1872869999999999,0.1156746228137091,1,
0.101187,0.358390510156936,1,
0.138578,0.1167415659944733,1,
0.126115,0.2590732390343493,1,
0.3333375925667226,0.081735,0,0.0
0.174164,-0.0383660456492357,1,
0.125072,0.2778146967107305,1,
0.2614182567592215,0.129725,0,0.0
0.099302,0.3360734492281904,1,
0.2782276002314637,0.135283,0,0.0
0.1629,0.1353518615104419,1,
0.1320869999999999,0.2627358707430364,1,
-0.0176157775925931,0.141029,0,0.0
0.101144,0.3442693962748956,1,
0.1135938420633954,0.1596969999999999,0,0.0
0.319316399763869,0.103202,0,0.0
0.2871889533292933,0.107666,0,0.0
0.1237809999999999,0.2618177609907352,1,
0.3043685427529448,0.140734,0,0.0
0.127342,0.2564527682546719,1,
0.2786995494883696,0.151399,0,0.0
0.0235991751708285,0.141174,0,0.0
0.0177484155268242,0.114258,0,0.0
0.0927359999999999,0.3290374243384354,1,
0.153491,0.4359914368751064,1,
0.163496,0.1193903138253652,1,
0.1032751416126012,0.14464,0,0.0
0.2395323029038172,0.109986,0,0.0
0.3201435052422949,0.089987,0,0.0
0.095405,0.3346055193647049,1,
0.136059974187143,0.137172,0,0.0
0.1232720894757677,0.156913,0,0.0
0.1515921884236148,0.160801,0,0.0
0.0155324040981584,0.159311,0,0.0
0.162336,0.192361840016961,1,
0.4786288601853994,0.168878,0,0.0
0.1039410619033164,0.076802,0,0.0
0.087429,0.3332864757643349,1,
0.139206,0.4588046513567456,1,
-0.0249176338125404,0.15657,0,0.0
-0.0092182424002751,0.140023,0,0.0
0.0471185358066777,0.129285,0,0.0
0.2593984341474732,0.090081,0,0.0
0.094822,-0.0395692134978335,1,
0.0958779999999999,0.1738947144345868,1,
0.1333049999999999,0.2326936643455177,1,
0.2955991225640784,0.126351,0,0.0
0.057794,0.1610514546472629,1,
0.096751,0.3230157777059099,1,
0.1060339999999999,0.1448723781422075,1,
-0.0325293352674433,0.128996,0,0.0
0.134243,0.0263249896109199,1,
0.062137,0.0938732841007789,1,
-0.0107203493490894,0.141932,0,0.0
0.0613849999999999,0.3463774663877482,1,
0.10145,0.1850761727502471,1,
0.0223513153038001,0.145148,0,0.0
0.064287,0.094192728382794,1,
0.093484,0.3883088520919163,1,
0.091153,0.6061496766712161,1,
0.141058,0.1156641206934594,1,
0.124111,0.2750506250139796,1,
0.0068674471583642,0.141033,0,0.0
0.111730354645117,0.168379,0,0.0
0.3952258322231231,0.0868499999999999,0,0.0
0.1009679999999999,0.3458808695057681,1,
-0.0057819684002658,0.1287599999999999,0,0.0
0.2957218199111002,0.116374,0,0.0
0.112542,0.2988946651638439,1,
0.1705003722842339,0.1192869999999999,0,0.0
0.1144739999999999,0.2627238421084476,1,
0.1322269999999999,0.3270333386563344,1,
-0.0116400757326849,0.121828,0,0.0
0.1133559999999999,0.360744358076796,1,
0.092775,0.2659994399569051,1,
0.3218358902929308,0.151355,0,0.0
0.163189,0.1056644129220945,1,
0.116866,0.3989095559633765,1,
0.0164573773592851,0.130531,0,0.0
0.114035,0.4054088197139383,1,
0.123391,0.2529298958091321,1,
0.2259575679798119,0.125671,0,0.0
0.0076217783703059,0.154349,0,0.0
0.1744779999999999,0.1606826923356521,1,
0.0039343614198196,0.137398,0,0.0
0.0676648647028988,0.175508,0,0.0
0.0893959999999999,0.3354919689933877,1,
0.1027579999999999,0.3829118261421068,1,
0.1363545624295235,0.095494,0,0.0
0.1188448662999882,0.126196,0,0.0
0.1159859999999999,0.222935533787629,1,
0.2454363598473898,0.121742,0,0.0
0.138842,0.3510077472861893,1,
0.132515,0.2583295425748718,1,
0.131265,0.1620523908977257,1,
-0.0102075659490048,0.125761,0,0.0
0.077792,0.4340949333741221,1,
0.0342043826085553,0.137692,0,0.0
0.0928479999999999,0.369555628000337,1,
0.158521,0.2684040628970298,1,
0.3186056134388538,0.129641,0,0.0
0.3430835947865209,0.1374699999999999,0,0.0
0.3383256621075555,0.1105409999999999,0,0.0
0.113017,0.2615078256746047,1,
0.1441169999999999,0.0588477184271619,1,
0.0655689999999999,0.2426574945620938,1,
0.1285629999999999,0.3634183610076036,1,
0.12203,0.2788813542374398,1,
-0.008159224914509,0.159525,0,0.0
0.3698971634804489,0.1075629999999999,0,0.0
0.130684,0.2374347930470874,1,
0.5057631798802317,0.1125029999999999,0,0.0
0.158264,0.0713627999588882,1,
0.081353,0.3228606288737942,1,
0.3231562022662154,0.141148,0,0.0
0.2002729999999999,0.2448817928059299,1,
0.2786043911714039,0.159771,0,0.0
-0.0082916683980974,0.1178089999999999,0,0.0
0.2709567353683861,0.123305,0,0.0
-0.0510031484057117,0.130595,0,0.0
0.134996,0.2414454596055899,1,
0.158028,0.075868957345744,1,
0.102903,0.1769929217482325,1,
0.282652922090216,0.144845,0,0.0
0.174304,0.1204976615280528,1,
0.344064917086237,0.103587,0,0.0
0.07521,0.4187745749456398,1,
0.14712,0.3881452486580299,1,
0.161371,-0.003367876157622,1,
0.1411719999999999,0.3538868991681134,1,
-0.0941798590267408,0.150184,0,0.0
-0.0090799611695001,0.15235,0,0.0
0.097008,0.3119461655368541,1,
0.1830981227138039,0.1596719999999999,0,0.0
0.2912619868730306,0.13491,0,0.0
0.0841839999999999,0.3796879366772727,1,
0.1928454654617739,0.141606,0,0.0
0.099696,0.3200614982366923,1,
0.1537748802741231,0.165088,0,0.0
-0.0029148227397075,0.162628,0,0.0
0.097294,0.3675310318742095,1,
0.0964559999999999,0.3309067714373795,1,
0.0953815274136379,0.155983,0,0.0
0.2384031884378673,0.105211,0,0.0
0.119162,0.2937796530898831,1,
0.088477,0.2118489616119557,1,
0.2409463868725286,0.136868,0,0.0
0.095368,0.3306868882727876,1,
0.1310313545592323,0.163877,0,0.0
0.141447,0.0104651750656164,1,
0.1320819999999999,0.0898836402898554,1,
0.120262,0.0946587989882189,1,
0.2560308557403999,0.130224,0,0.0
0.0986559999999999,0.3535872368867881,1,
0.3142588152974681,0.129431,0,0.0
0.3074791738620737,0.110965,0,0.0
0.4887713213260395,0.100602,0,0.0
0.2473222881034478,0.077984,0,0.0
0.153742,0.0673998324921664,1,
0.2652256734794199,0.0995689999999999,0,0.0
0.146636,0.1600841131802131,1,
0.0921419999999999,0.3553897462548128,1,
0.085642,0.3767708976605024,1,
0.079561,0.3943176859260854,1,
0.1413059999999999,0.0864210677986532,1,
0.1238409999999999,0.2692442643994017,1,
0.315267279149064,0.1128839999999999,0,0.0
0.0903569999999999,0.3134994508387744,1,
0.079229,0.3165021504270115,1,
0.3115319407876311,0.1501549999999999,0,0.0
0.3060904533582971,0.121716,0,0.0
0.120303,0.2866535177877671,1,
-0.0390956161260328,0.128019,0,0.0
0.094945,0.3707949465759441,1,
0.0770819999999999,0.3905681598421983,1,
0.3408704876778883,0.175723,0,0.0
0.119622,0.311676361892117,1,
0.148706,0.269809172012912,1,
0.123037,0.4115758053150354,1,
0.1823505215453032,0.136281,0,0.0
0.112102,0.3654609823853629,1,
0.2143458655681248,0.0801709999999999,0,0.0
0.147863,0.2503996387444388,1,
0.077663,0.3391920675239412,1,
0.1264388930895443,0.133648,0,0.0
0.15335,0.0081592730969382,1,
0.117783,0.2875539572818798,1,
0.0407555190635855,0.13241,0,0.0
-0.0231056389581129,0.1528159999999999,0,0.0
0.125974,0.3011589757715462,1,
0.1723614343198603,0.133459,0,0.0
0.1719955431415408,0.0669309999999999,0,0.0
0.3050446022282183,0.124493,0,0.0
0.1160899999999999,0.3450437052491432,1,
0.130439,0.26688416366549,1,
0.1215775452839484,0.140096,0,0.0
0.1735070123728934,0.117018,0,0.0
-0.0055294792959332,0.142806,0,0.0
0.120228,0.2775155766129702,1,
0.124871,0.2558027348048451,1,
-0.0066757061448465,0.140715,0,0.0
0.104597,0.379178498278805,1,
0.1005901875742816,0.141143,0,0.0
